date,currency,rate,yr,qtr,mth,wk,dte
2016-12-01,US DOLLAR,101.8503,2016,4,12,48,1
2016-12-01,STG POUND,127.6264,2016,4,12,48,1
2016-12-01,EURO,108.1442,2016,4,12,48,1
2016-12-01,SA RAND,7.2625,2016,4,12,48,1
2016-12-01,KSH/USHS,35.5719,2016,4,12,48,1
2016-12-01,KSH/TSHS,21.404,2016,4,12,48,1
2016-12-01,KSH/RWF,7.9755,2016,4,12,48,1
2016-12-01,KSH/BIF,16.4236,2016,4,12,48,1
2016-12-01,AE DIRHAM,27.7287,2016,4,12,48,1
2016-12-01,CANADIAN DOLLAR,76.0588,2016,4,12,48,1
2016-12-01,S FRANC,100.3254,2016,4,12,48,1
2016-12-01,JPY(100),89.3385,2016,4,12,48,1
2016-12-01,SW KRONER,11.0525,2016,4,12,48,1
2016-12-01,NOR KRONER,11.9892,2016,4,12,48,1
2016-12-01,DAN KRONER,14.528,2016,4,12,48,1
2016-12-01,IND RUPEE,1.4908,2016,4,12,48,1
2016-12-01,HONGKONG DOLLAR,13.1333,2016,4,12,48,1
2016-12-01,SINGAPORE DOLLAR,71.2963,2016,4,12,48,1
2016-12-01,SAUDI RIYAL,27.1583,2016,4,12,48,1
2016-12-01,CHINESE YUAN,14.7763,2016,4,12,48,1
2016-12-01,AUSTRALIAN DOLLAR,75.5016,2016,4,12,48,1
2016-12-02,US DOLLAR,101.8586,2016,4,12,49,2
2016-12-02,STG POUND,129.2742,2016,4,12,49,2
2016-12-02,EURO,108.2375,2016,4,12,49,2
2016-12-02,SA RAND,7.2626,2016,4,12,49,2
2016-12-02,KSH/USHS,35.6377,2016,4,12,49,2
2016-12-02,KSH/TSHS,21.4023,2016,4,12,49,2
2016-12-02,KSH/RWF,8.0602,2016,4,12,49,2
2016-12-02,KSH/BIF,16.5329,2016,4,12,49,2
2016-12-02,AE DIRHAM,27.7329,2016,4,12,49,2
2016-12-02,CANADIAN DOLLAR,76.2272,2016,4,12,49,2
2016-12-02,S FRANC,100.482,2016,4,12,49,2
2016-12-02,JPY(100),89.0879,2016,4,12,49,2
2016-12-02,SW KRONER,11.0539,2016,4,12,49,2
2016-12-02,NOR KRONER,12.0847,2016,4,12,49,2
2016-12-02,DAN KRONER,14.5456,2016,4,12,49,2
2016-12-02,IND RUPEE,1.4911,2016,4,12,49,2
2016-12-02,HONGKONG DOLLAR,13.1336,2016,4,12,49,2
2016-12-02,SINGAPORE DOLLAR,71.3796,2016,4,12,49,2
2016-12-02,SAUDI RIYAL,27.158,2016,4,12,49,2
2016-12-02,CHINESE YUAN,14.7911,2016,4,12,49,2
2016-12-02,AUSTRALIAN DOLLAR,75.3907,2016,4,12,49,2
2016-12-05,US DOLLAR,101.87,2016,4,12,49,5
2016-12-05,STG POUND,128.7897,2016,4,12,49,5
2016-12-05,EURO,108.4706,2016,4,12,49,5
2016-12-05,SA RAND,7.2635,2016,4,12,49,5
2016-12-05,KSH/USHS,35.6337,2016,4,12,49,5
2016-12-05,KSH/TSHS,21.3999,2016,4,12,49,5
2016-12-05,KSH/RWF,7.9761,2016,4,12,49,5
2016-12-05,KSH/BIF,16.5139,2016,4,12,49,5
2016-12-05,AE DIRHAM,27.7341,2016,4,12,49,5
2016-12-05,CANADIAN DOLLAR,76.6689,2016,4,12,49,5
2016-12-05,S FRANC,100.9114,2016,4,12,49,5
2016-12-05,JPY(100),89.4813,2016,4,12,49,5
2016-12-05,SW KRONER,11.075,2016,4,12,49,5
2016-12-05,NOR KRONER,12.0827,2016,4,12,49,5
2016-12-05,DAN KRONER,14.5812,2016,4,12,49,5
2016-12-05,IND RUPEE,1.4949,2016,4,12,49,5
2016-12-05,HONGKONG DOLLAR,13.1354,2016,4,12,49,5
2016-12-05,SINGAPORE DOLLAR,71.6008,2016,4,12,49,5
2016-12-05,SAUDI RIYAL,27.1617,2016,4,12,49,5
2016-12-05,CHINESE YUAN,14.7894,2016,4,12,49,5
2016-12-05,AUSTRALIAN DOLLAR,75.7302,2016,4,12,49,5
2016-12-06,US DOLLAR,101.8739,2016,4,12,49,6
2016-12-06,STG POUND,129.5808,2016,4,12,49,6
2016-12-06,EURO,108.8653,2016,4,12,49,6
2016-12-06,SA RAND,7.3579,2016,4,12,49,6
2016-12-06,KSH/USHS,35.6127,2016,4,12,49,6
2016-12-06,KSH/TSHS,21.3991,2016,4,12,49,6
2016-12-06,KSH/RWF,7.9778,2016,4,12,49,6
2016-12-06,KSH/BIF,16.4254,2016,4,12,49,6
2016-12-06,AE DIRHAM,27.7351,2016,4,12,49,6
2016-12-06,CANADIAN DOLLAR,76.6286,2016,4,12,49,6
2016-12-06,S FRANC,100.9152,2016,4,12,49,6
2016-12-06,JPY(100),89.1324,2016,4,12,49,6
2016-12-06,SW KRONER,11.1016,2016,4,12,49,6
2016-12-06,NOR KRONER,12.1124,2016,4,12,49,6
2016-12-06,DAN KRONER,14.6429,2016,4,12,49,6
2016-12-06,IND RUPEE,1.4938,2016,4,12,49,6
2016-12-06,HONGKONG DOLLAR,13.1367,2016,4,12,49,6
2016-12-06,SINGAPORE DOLLAR,71.513,2016,4,12,49,6
2016-12-06,SAUDI RIYAL,27.1628,2016,4,12,49,6
2016-12-06,CHINESE YUAN,14.8074,2016,4,12,49,6
2016-12-06,AUSTRALIAN DOLLAR,75.7993,2016,4,12,49,6
2016-12-07,US DOLLAR,101.9144,2016,4,12,49,7
2016-12-07,STG POUND,129.6975,2016,4,12,49,7
2016-12-07,EURO,109.3275,2016,4,12,49,7
2016-12-07,SA RAND,7.4562,2016,4,12,49,7
2016-12-07,KSH/USHS,35.5789,2016,4,12,49,7
2016-12-07,KSH/TSHS,21.3709,2016,4,12,49,7
2016-12-07,KSH/RWF,7.9758,2016,4,12,49,7
2016-12-07,KSH/BIF,16.418,2016,4,12,49,7
2016-12-07,AE DIRHAM,27.7469,2016,4,12,49,7
2016-12-07,CANADIAN DOLLAR,76.6245,2016,4,12,49,7
2016-12-07,S FRANC,100.8505,2016,4,12,49,7
2016-12-07,JPY(100),89.3986,2016,4,12,49,7
2016-12-07,SW KRONER,11.1594,2016,4,12,49,7
2016-12-07,NOR KRONER,12.1509,2016,4,12,49,7
2016-12-07,DAN KRONER,14.6991,2016,4,12,49,7
2016-12-07,IND RUPEE,1.5045,2016,4,12,49,7
2016-12-07,HONGKONG DOLLAR,13.1402,2016,4,12,49,7
2016-12-07,SINGAPORE DOLLAR,71.8036,2016,4,12,49,7
2016-12-07,SAUDI RIYAL,27.1739,2016,4,12,49,7
2016-12-07,CHINESE YUAN,14.8089,2016,4,12,49,7
2016-12-07,AUSTRALIAN DOLLAR,75.911,2016,4,12,49,7
2016-12-08,US DOLLAR,101.9731,2016,4,12,49,8
2016-12-08,STG POUND,128.64940000000001,2016,4,12,49,8
2016-12-08,EURO,109.43,2016,4,12,49,8
2016-12-08,SA RAND,7.5118,2016,4,12,49,8
2016-12-08,KSH/USHS,35.4997,2016,4,12,49,8
2016-12-08,KSH/TSHS,21.3685,2016,4,12,49,8
2016-12-08,KSH/RWF,7.9728,2016,4,12,49,8
2016-12-08,KSH/BIF,16.4947,2016,4,12,49,8
2016-12-08,AE DIRHAM,27.7625,2016,4,12,49,8
2016-12-08,CANADIAN DOLLAR,76.7841,2016,4,12,49,8
2016-12-08,S FRANC,100.9535,2016,4,12,49,8
2016-12-08,JPY(100),89.3952,2016,4,12,49,8
2016-12-08,SW KRONER,11.2018,2016,4,12,49,8
2016-12-08,NOR KRONER,12.1752,2016,4,12,49,8
2016-12-08,DAN KRONER,14.7152,2016,4,12,49,8
2016-12-08,IND RUPEE,1.5073,2016,4,12,49,8
2016-12-08,HONGKONG DOLLAR,13.1459,2016,4,12,49,8
2016-12-08,SINGAPORE DOLLAR,71.888,2016,4,12,49,8
2016-12-08,SAUDI RIYAL,27.1888,2016,4,12,49,8
2016-12-08,CHINESE YUAN,14.8179,2016,4,12,49,8
2016-12-08,AUSTRALIAN DOLLAR,75.9394,2016,4,12,49,8
2016-12-09,US DOLLAR,101.9739,2016,4,12,50,9
2016-12-09,STG POUND,128.4358,2016,4,12,50,9
2016-12-09,EURO,108.26220000000001,2016,4,12,50,9
2016-12-09,SA RAND,7.457,2016,4,12,50,9
2016-12-09,KSH/USHS,35.3327,2016,4,12,50,9
2016-12-09,KSH/TSHS,21.3781,2016,4,12,50,9
2016-12-09,KSH/RWF,7.9737,2016,4,12,50,9
2016-12-09,KSH/BIF,16.5102,2016,4,12,50,9
2016-12-09,AE DIRHAM,27.7627,2016,4,12,50,9
2016-12-09,CANADIAN DOLLAR,77.2823,2016,4,12,50,9
2016-12-09,S FRANC,100.3779,2016,4,12,50,9
2016-12-09,JPY(100),89.2121,2016,4,12,50,9
2016-12-09,SW KRONER,11.1738,2016,4,12,50,9
2016-12-09,NOR KRONER,12.0973,2016,4,12,50,9
2016-12-09,DAN KRONER,14.5513,2016,4,12,50,9
2016-12-09,IND RUPEE,1.5088,2016,4,12,50,9
2016-12-09,HONGKONG DOLLAR,13.1454,2016,4,12,50,9
2016-12-09,SINGAPORE DOLLAR,71.5958,2016,4,12,50,9
2016-12-09,SAUDI RIYAL,27.184,2016,4,12,50,9
